name,timestamp,angry,disgust,fear,happy,sad,surprise,neutral
Kim Do Chi,1525,0,0,2.9,0,96.8,0,0.3
Bear,1525,60.1,0,4.4,0.1,7.4,0.6,27.3
Kim Do Chi,1527,0.2,0,0.9,0,96.5,0,2.4
Bear,1530,1.9,0,0.1,0,12.4,0,85.7
Kim Do Chi,1530,1.7,0,0.2,0,85,0,13.1
Cha Tae Sik,1531,0.2,0,0.2,0,30,0,69.5
Bear,1534,2.8,0,34.9,0,50.2,0,12.2
Kim Do Chi,1534,1.2,0,20.1,1.5,3.6,73.5,0
Kim Do Chi,1537,0.1,0,0.1,0,99.5,0,0.3
Bear,1537,7.7,0,0.1,0,1.2,0,91
Kim Do Chi,1538,1.4,0,0,0,98.2,0,0.4
Jong Seok,1555,0,0,0.1,0,99.9,0,0.1
Kim Do Chi,1565,1,0,0,0,36.5,0,62.4
Cha Tae Sik,1567,0,0,0,0,99,0,1
Lam Loan,1569,0.1,0,0,0,2,0,98
Cha Tae Sik,1574,0.1,0,0,0,99.9,0,0.1
Lam Loan,1576,0.3,0,0.1,0,7.5,0,92.1
Cha Tae Sik,1579,0.1,0,0,0,99.2,0,0.7
Lam Loan,1582,3.3,0,2.1,0,58.8,0,35.8
Cha Tae Sik,1583,0,0,0,0,99.9,0,0.1
Cha Tae Sik,1586,0,0,0.6,0,99.4,0,0
Cha Tae Sik,1601,0,0,0,10.8,86.6,0,2.6
Jong Seok,1610,0,0,0,0,69.4,0,30.6
Cha Tae Sik,1616,0,0,0.7,0,99.3,0,0
Jong Seok,1618,0,0,0,0,100,0,0
Cha Tae Sik,1623,0,0,0,0,100,0,0
Jong Seok,1629,56.2,0,0,0.6,26.6,0.4,16.2
Jong Seok,1635,0,0,0.1,0,98.4,0,1.5
Jong Seok,1642,0,0,0,0.3,0,0,99.7
Lam Loan,1649,3.3,0,22.7,0,73.3,0,0.7
Kim Do Chi,1649,0.1,0,0.1,0,90.9,0,9
Cha Tae Sik,1651,0,0,0.8,0,99.1,0,0.1
Lam Loan,1653,2.8,0,0.2,0,41.7,0,55.3
Cha Tae Sik,1659,0,0,0.2,0,99.8,0,0
Lam Loan,1661,0.2,0,0,0,1.5,0,98.3
Cha Tae Sik,1667,0,0,0.3,0,99.7,0,0
Cha Tae Sik,1672,0.2,0,0.8,0,98.9,0,0.1
Lam Loan,1673,0,0,0,0,0,0.2,99.8
Kim Do Chi,1673,3.3,0,1.3,0,45.7,0,49.7
Cha Tae Sik,1678,0,0,0.9,0,99.1,0,0
Cha Tae Sik,1679,0.9,0,3.5,0,95.4,0,0.3
Lam Loan,1680,5.8,0,0,0,13.6,0,80.5
Lam Loan,1681,3.4,0,0,0,4.6,0,91.9
Cha Tae Sik,1686,0.1,0,1.5,0,98.3,0,0
Lam Loan,1690,2.4,0,0,0,6.9,0,90.7
Lam Loan,1702,0.3,0,99.6,0,0.1,0,0
Lam Loan,1704,9.4,0,35,0.3,40.5,0,14.8
Lam Loan,1714,2.1,0,2.9,0,87.8,0,7.1
Lam Loan,1715,0.7,0,0.9,0,91.3,0,7.1
Cha Tae Sik,1719,3.1,0,0.2,0,95.5,0,1.2
Cha Tae Sik,1723,2.6,0,0,76.5,20.6,0,0.3
Cha Tae Sik,1728,8.7,0,0,0.1,80.6,0,10.5
Cha Tae Sik,1729,0,0,0,0,0,0,100
Cha Tae Sik,1730,98.2,0,0.2,0,1.6,0,0
Jeong So Mi,1735,96.1,0,0.2,0.5,3.2,0,0
Jeong So Mi,1736,80.3,0,0.3,4.5,12.9,0,1.9
Cha Tae Sik,1738,0.1,0,0.5,0.1,7.9,0.1,91.4
